sim_time, uav1/rotor_3_joint?0/velocity
81.988, -49.752
81.992, -50.0578
81.996, -50.3486
82, -50.577
82.004, -50.7257
82.008, -50.8336
82.012, -50.8603
82.016, -50.8244
82.02, -50.7938
82.024, -50.6563
82.028, -50.4648
82.032, -50.2274
82.036, -49.9602
82.04, -49.6767
82.044, -49.4072
82.048, -49.1591
82.052, -48.9197
82.056, -48.6879
82.06, -48.5182
82.064, -48.3921
82.068, -48.2846
82.072, -48.2395
82.076, -48.3059
82.08, -48.3713
82.084, -48.5219
82.088, -48.7173
82.092, -48.7216
82.096, -48.7763
82.1, -48.8676
82.104, -48.9856
82.108, -49.1055
82.112, -49.2098
82.116, -49.3372
82.12, -49.464
82.124, -49.5905
82.128, -49.6996
82.132, -49.6866
82.136, -49.6756
82.14, -49.6663
82.144, -49.6583
82.148, -49.6515
82.152, -49.6457
82.156, -49.6709
82.16, -49.6892
82.164, -49.6779
82.168, -49.6681
82.172, -49.6599
82.176, -49.6528
82.18, -49.6282
82.184, -49.5887
82.188, -49.5458
82.192, -49.5185
82.196, -49.5614
82.2, -49.7129
82.204, -49.8229
82.208, -49.9028
82.212, -49.9781
82.216, -50.2219
82.22, -50.3989
82.224, -50.5275
82.228, -50.5692
82.232, -50.7543
82.236, -50.8199
82.24, -50.8085
82.244, -50.7616
82.248, -50.6938
82.252, -50.5989
82.256, -50.4623
82.26, -50.2995
82.264, -50.1144
82.268, -49.8916
82.272, -49.7296
82.276, -49.5544
82.28, -49.3865
82.284, -49.2249
82.288, -49.0872
82.292, -48.9698
82.296, -48.9348
82.3, -48.9143
82.304, -48.9163
82.308, -48.9521
82.312, -49.0125
82.316, -49.1768
82.32, -49.296
82.324, -49.417
82.328, -49.5049
82.332, -49.5859
82.336, -49.6963
82.34, -49.7593
82.344, -49.7561
82.348, -49.7348
82.352, -49.7166
82.356, -49.6733
82.36, -49.5807
82.364, -49.4739
82.368, -49.355
82.372, -49.2166
82.376, -49.0708
82.38, -48.9466
82.384, -48.8221
82.388, -48.7161
82.392, -48.635
82.396, -48.603
82.4, -48.5758
82.404, -48.534
82.408, -48.5169
